implementation,run,warmup,metric,milliseconds
cuda,46,0,batch_average,24.266138290
cuda,46,0,prediction_total,2202.485000000
cuda,46,0,cpu_gpu_transfer,22063.978000000
cuda,46,0,gpu_cpu_transfer,107.049000000
cuda,46,0,gpu_compute,630149.857000000
cuda,46,0,application_total,665173.797000000
cuda,47,0,compilation,8311.746000000
cuda,47,0,model_setup,367.388000000
cuda,47,0,batch_loading,48061.625000000
cuda,47,0,training_total,654328.771000000
cuda,47,0,epoch_average,6543.287710000
cuda,47,0,batch_average,24.257999219
cuda,47,0,prediction_total,2163.697000000
cuda,47,0,cpu_gpu_transfer,21627.908000000
cuda,47,0,gpu_cpu_transfer,101.945000000
cuda,47,0,gpu_compute,629683.720000000
cuda,47,0,application_total,664597.897000000
cuda,48,0,compilation,8521.707000000
cuda,48,0,model_setup,358.436000000
cuda,48,0,batch_loading,41076.894000000
cuda,48,0,training_total,652532.539000000
cuda,48,0,epoch_average,6525.325390000
cuda,48,0,batch_average,24.203487658
cuda,48,0,prediction_total,2167.229000000
cuda,48,0,cpu_gpu_transfer,20695.589000000
cuda,48,0,gpu_cpu_transfer,70.091000000
cuda,48,0,gpu_compute,629899.520000000
cuda,48,0,application_total,662822.008000000
cuda,49,0,compilation,8216.229000000
cuda,49,0,model_setup,334.047000000
cuda,49,0,batch_loading,56364.591000000
cuda,49,0,training_total,657732.697000000
cuda,49,0,epoch_average,6577.326970000
cuda,49,0,batch_average,24.383344721
cuda,49,0,prediction_total,2140.212000000
cuda,49,0,cpu_gpu_transfer,26786.121000000
cuda,49,0,gpu_cpu_transfer,76.322000000
cuda,49,0,gpu_compute,628349.571000000
cuda,49,0,application_total,668422.389000000
cuda,50,0,compilation,8191.857000000
cuda,50,0,model_setup,373.228000000
cuda,50,0,batch_loading,40453.989000000
cuda,50,0,training_total,652767.234000000
cuda,50,0,epoch_average,6527.672340000
cuda,50,0,batch_average,24.213455725
cuda,50,0,prediction_total,2026.101000000
cuda,50,0,cpu_gpu_transfer,20515.950000000
cuda,50,0,gpu_cpu_transfer,70.363000000
cuda,50,0,gpu_compute,630319.717000000
cuda,50,0,application_total,662772.782000000
cuda,51,0,compilation,8237.121000000
cuda,51,0,model_setup,323.075000000
cuda,51,0,batch_loading,40336.653000000
cuda,51,0,training_total,652868.574000000
cuda,51,0,epoch_average,6528.685740000
cuda,51,0,batch_average,24.213675911
cuda,51,0,prediction_total,2169.254000000
cuda,51,0,cpu_gpu_transfer,20228.841000000
cuda,51,0,gpu_cpu_transfer,71.152000000
cuda,51,0,gpu_compute,630389.568000000
cuda,51,0,application_total,662958.659000000
cuda,52,0,compilation,8059.064000000
cuda,52,0,model_setup,314.942000000
cuda,52,0,batch_loading,40168.373000000
cuda,52,0,training_total,653148.636000000
cuda,52,0,epoch_average,6531.486360000
cuda,52,0,batch_average,24.226936617
cuda,52,0,prediction_total,2066.015000000
cuda,52,0,cpu_gpu_transfer,20121.034000000
cuda,52,0,gpu_cpu_transfer,69.346000000
cuda,52,0,gpu_compute,630605.067000000
cuda,52,0,application_total,663176.782000000
cuda,53,0,compilation,8196.209000000
cuda,53,0,model_setup,335.692000000
cuda,53,0,batch_loading,40048.426000000
cuda,53,0,training_total,653043.191000000
cuda,53,0,epoch_average,6530.431910000
cuda,53,0,batch_average,24.222866543
cuda,53,0,prediction_total,2042.810000000
cuda,53,0,cpu_gpu_transfer,19981.292000000
cuda,53,0,gpu_cpu_transfer,69.638000000
cuda,53,0,gpu_compute,630620.964000000
cuda,53,0,application_total,663287.332000000
cuda,54,0,compilation,8317.177000000
cuda,54,0,model_setup,321.877000000
cuda,54,0,batch_loading,57169.328000000
cuda,54,0,training_total,657322.311000000
cuda,54,0,epoch_average,6573.223110000
cuda,54,0,batch_average,24.364287993
cuda,54,0,prediction_total,2212.842000000
cuda,54,0,cpu_gpu_transfer,25421.686000000
cuda,54,0,gpu_cpu_transfer,75.641000000
cuda,54,0,gpu_compute,628997.810000000
cuda,54,0,application_total,668088.009000000
cuda,55,0,compilation,8318.618000000
cuda,55,0,model_setup,323.735000000
cuda,55,0,batch_loading,39662.399000000
cuda,55,0,training_total,652662.726000000
cuda,55,0,epoch_average,6526.627260000
cuda,55,0,batch_average,24.208714312
cuda,55,0,prediction_total,2146.851000000
cuda,55,0,cpu_gpu_transfer,20178.194000000
cuda,55,0,gpu_cpu_transfer,70.068000000
cuda,55,0,gpu_compute,630532.215000000
cuda,55,0,application_total,662973.842000000
cuda,56,0,compilation,8281.722000000
cuda,56,0,model_setup,323.241000000
cuda,56,0,batch_loading,39925.143000000
cuda,56,0,training_total,652753.113000000
cuda,56,0,epoch_average,6527.531130000
cuda,56,0,batch_average,24.213189591
cuda,56,0,prediction_total,2113.310000000
cuda,56,0,cpu_gpu_transfer,20340.286000000
cuda,56,0,gpu_cpu_transfer,71.036000000
cuda,56,0,gpu_compute,630562.324000000
cuda,56,0,application_total,663601.238000000
cuda,57,0,compilation,8342.794000000
cuda,57,0,model_setup,325.506000000
cuda,57,0,batch_loading,40245.544000000
cuda,57,0,training_total,652863.815000000
cuda,57,0,epoch_average,6528.638150000
cuda,57,0,batch_average,24.214457658
cuda,57,0,prediction_total,2082.508000000
cuda,57,0,cpu_gpu_transfer,20154.675000000
cuda,57,0,gpu_cpu_transfer,74.333000000
cuda,57,0,gpu_compute,630560.232000000
cuda,57,0,application_total,662790.749000000
cuda,58,0,compilation,8418.456000000
cuda,58,0,model_setup,323.172000000
cuda,58,0,batch_loading,49427.759000000
cuda,58,0,training_total,655693.690000000
cuda,58,0,epoch_average,6556.936900000
cuda,58,0,batch_average,24.305868104
cuda,58,0,prediction_total,2187.377000000
cuda,58,0,cpu_gpu_transfer,22632.413000000
cuda,58,0,gpu_cpu_transfer,104.312000000
cuda,58,0,gpu_compute,629966.313000000
cuda,58,0,application_total,666271.467000000
cuda,59,0,compilation,8152.424000000
cuda,59,0,model_setup,320.230000000
cuda,59,0,batch_loading,56979.256000000
cuda,59,0,training_total,657195.314000000
cuda,59,0,epoch_average,6571.953140000
cuda,59,0,batch_average,24.362751450
cuda,59,0,prediction_total,2132.784000000
cuda,59,0,cpu_gpu_transfer,25569.636000000
cuda,59,0,gpu_cpu_transfer,75.043000000
cuda,59,0,gpu_compute,628974.075000000
cuda,59,0,application_total,667589.561000000
cuda,60,0,compilation,8277.657000000
cuda,60,0,model_setup,315.952000000
cuda,60,0,batch_loading,40436.269000000
cuda,60,0,training_total,653440.211000000
cuda,60,0,epoch_average,6534.402110000
cuda,60,0,batch_average,24.236729331
cuda,60,0,prediction_total,2069.682000000
